Clinton (D)	Date	MoE	Poll	Sample	Spread	State	State_Fips	Trump (R)
44.0	5/16 - 5/19	3.7	CBS News/YouGovCBS/YouGov	992 LV	Clinton +5	Ohio	OH	39.0
39.0	4/27 - 5/8	3.0	QuinnipiacQuinnipiac	1042 RV	Trump +4	Ohio	OH	43.0
45.0	4/26 - 4/27	3.2	PPP (D)PPP (D)	799 RV	Clinton +3	Ohio	OH	42.0
48.0	3/4 - 3/10	2.2	NBC/WSJ/MaristNBC/WSJ	2052 RV	Clinton +6	Ohio	OH	42.0
45.0	3/3 - 3/4	2.8	PPP (D)PPP (D)	1248 RV	Clinton +5	Ohio	OH	40.0
50.0	3/2 - 3/6	3.5	CNN/ORCCNN/ORC	884 RV	Clinton +7	Ohio	OH	43.0
42.0	2/16 - 2/20	2.5	QuinnipiacQuinnipiac	1539 RV	Trump +2	Ohio	OH	44.0
43.0	9/25 - 10/5	2.9	QuinnipiacQuinnipiac	1180 RV	Clinton +1	Ohio	OH	42.0
43.0	8/7 - 8/18	3.0	QuinnipiacQuinnipiac	1096 RV	Clinton +5	Ohio	OH	38.0
43.0	5/16 - 5/19	4.0	CBS News/YouGovCBS News/YouGov	995 LV	Clinton +1	Florida	FL	42.0
46.0	5/17 - 5/18	2.0	GravisGravis	2542 RV	Clinton +4	Florida	FL	42.0
43.0	4/27 - 5/8	3.0	QuinnipiacQuinnipiac	1051 RV	Clinton +1	Florida	FL	42.0
49.0	4/25 - 4/27	5.0	AIF (R)**AIF (R)**	604 LV	Clinton +13	Florida	FL	36.0
49.0	3/4 - 3/10	2.0	NBC/WSJ/MaristNBC/WSJ/Marist	2422 RV	Clinton +8	Florida	FL	41.0
44.0	3/4 - 3/6	2.3	News 13/SurveyUSANews 13/SurveyUSA	1961 LV	Trump +1	Florida	FL	45.0
50.0	3/2 - 3/6	3.5	CNN/ORCCNN/ORC	854 RV	Clinton +7	Florida	FL	43.0
44.0	2/24 - 2/25	3.1	PPP (D)PPP (D)	1012 RV	Trump +2	Florida	FL	46.0
44.0	1/15 - 1/18	3.0	Florida Atlantic UniversityFlorida Atlantic University	1008 RV	Trump +3	Florida	FL	47.0
41.0	11/15 - 11/16	3.3	Florida Atlantic UniversityFlorida Atlantic University	829 RV	Trump +8	Florida	FL	49.0
43.0	10/28 - 11/1	2.0	News 13/SurveyUSANews 13/SurveyUSA	2400 LV	Trump +4	Florida	FL	47.0
46.0	9/25 - 10/5	2.9	QuinnipiacQuinnipiac	1173 RV	Clinton +5	Florida	FL	41.0
42.0	9/16 - 9/20	4.0	FL ChamberFL Chamber	605 LV	Clinton +1	Florida	FL	41.0
42.0	9/11 - 9/13	3.4	PPP (D)PPP (D)	814 RV	Trump +6	Florida	FL	48.0
41.0	8/7 - 8/18	3.0	QuinnipiacQuinnipiac	1093 RV	Trump +2	Florida	FL	43.0
43.0	4/27 - 5/8	3.0	QuinnipiacQuinnipiac	1077 RV	Clinton +1	Pennsylvania	PA	42.0
54.0	4/18 - 4/20	1.9	NBC/WSJ/MaristNBC/WSJ	2606 RV	Clinton +15	Pennsylvania	PA	39.0
44.0	4/4 - 4/7	2.5	FOX NewsFOX News	1607 LV	Tie	Pennsylvania	PA	44.0
45.0	3/30 - 4/4	2.4	QuinnipiacQuinnipiac	1737 LV	Clinton +3	Pennsylvania	PA	42.0
46.0	3/14 - 3/20	3.3	Franklin & MarshallF&M	828 RV	Clinton +13	Pennsylvania	PA	33.0
43.0	3/1 - 3/11	4.8	Mercyhurst UniversityMercyhurst University	421 RV	Clinton +8	Pennsylvania	PA	35.0
45.0	3/1 - 3/2	3.6	Harper (R)Harper (R)	662 LV	Clinton +5	Pennsylvania	PA	40.0
43.0	10/8 - 10/11	3.1	PPP (D)PPP (D)	1012 RV	Trump +2	Pennsylvania	PA	45.0
44.0	9/25 - 10/5	3.0	QuinnipiacQuinnipiac	1049 RV	Clinton +2	Pennsylvania	PA	42.0
45.0	8/7 - 8/18	3.0	QuinnipiacQuinnipiac	1085 RV	Clinton +5	Pennsylvania	PA	40.0
47.0	3/19 - 3/22	4.0	EPIC-MRAEPIC-MRA	600 LV	Clinton +10	Michigan	MI	37.0
52.0	3/1 - 3/3	2.1	NBC/WSJ/MaristNBC/WSJ	2229 RV	Clinton +16	Michigan	MI	36.0
44.0	2/22 - 2/27	4.0	MRGMRG	600 LV	Clinton +5	Michigan	MI	39.0
46.0	10/25 - 10/31	4.0	WXYZ-TV/Detroit Free PressWXYZ/Detroit Free Press	600 LV	Clinton +8	Michigan	MI	38.0
42.0	9/18 - 9/18	2.5	FOX 2 Detroit/MitchellFOX 2	1483 LV	Tie	Michigan	MI	42.0
43.0	9/9 - 9/14	4.0	MRGMRG	600 LV	Clinton +3	Michigan	MI	40.0
39.0	8/10 - 8/10	2.7	FOX 2 Detroit/MitchellFOX 2	1310 LV	Trump +1	Michigan	MI	40.0
49.0	6/25 - 6/28	3.0	PPP (D)PPP (D)	1072 RV	Clinton +10	Michigan	MI	39.0
49.0	4/23 - 4/25	4.0	Civitas (R)Civitas (R)	600 LV	Clinton +9	North Carolina	NC	40.0
44.0	4/22 - 4/24	3.2	PPP (D)PPP (D)	960 RV	Tie	North Carolina	NC	44.0
44.0	3/18 - 3/20	3.4	PPP (D)PPP (D)	843 RV	Clinton +2	North Carolina	NC	42.0
47.0	2/15 - 2/17	2.5	Elon UniversityElon	1530 LV	Clinton +6	North Carolina	NC	41.0
43.0	2/14 - 2/16	2.8	SurveyUSASUSA	1250 LV	Trump +2	North Carolina	NC	45.0
43.0	2/14 - 2/16	2.7	PPP (D)PPP (D)	1291 RV	Trump +1	North Carolina	NC	44.0
43.0	1/15 - 1/19	3.2	PPP (D)PPP (D)	948 RV	Trump +2	North Carolina	NC	45.0
43.0	12/5 - 12/7	2.8	PPP (D)PPP (D)	1214 RV	Trump +4	North Carolina	NC	47.0
50.0	10/29 - 11/2	3.0	Elon UniversityElon	1040 RV	Clinton +10	North Carolina	NC	40.0
42.0	10/23 - 10/25	3.3	PPP (D)PPP (D)	893 RV	Trump +6	North Carolina	NC	48.0
42.0	9/25 - 9/28	2.8	PPP (D)PPP (D)	1268 RV	Trump +5	North Carolina	NC	47.0
47.0	9/17 - 9/21	3.0	Elon UniversityElon	1075 RV	Clinton +7	North Carolina	NC	40.0
42.0	8/12 - 8/16	3.2	PPP (D)PPP (D)	957 RV	Trump +3	North Carolina	NC	45.0
47.0	7/2 - 7/6	4.3	PPP (D)PPP (D)	529 RV	Clinton +3	North Carolina	NC	44.0
41.0	5/15 - 5/15	4.0	FOX 5 AtlantaFOX 5	587 LV	Trump +3	Georgia	GA	44.0
41.0	5/9 - 5/12	4.3	Atlanta Journal-ConstitutionAJC	822 RV	Trump +4	Georgia	GA	45.0
41.0	5/5 - 5/5	4.1	WSB-TV/LandmarkWSB-TV	570 LV	Trump +1	Georgia	GA	42.0
41.0	2/22 - 2/23	2.8	TEGNA/SurveyUSATEGNA/SUSA	1261 LV	Trump +9	Georgia	GA	50.0
37.0	10/15 - 10/26	4.0	WXIA-TV/SurveyUSAWXIA/SUSA	481 LV	Trump +9	Georgia	GA	46.0
44.0	5/12 - 5/15	4.4	WBUR/MassINCWBUR/MassINC	501 LV	Clinton +2	New Hampshire	NH	42.0
34.0	4/11 - 4/16	5.2	DartmouthDartmouth	362 RV	Clinton +5	New Hampshire	NH	29.0
50.0	4/7 - 4/17	4.2	WMUR/UNHWMUR/UNH	553 LV	Clinton +19	New Hampshire	NH	31.0
47.0	2/20 - 2/28	3.9	WMUR/UNHWMUR/UNH	628 LV	Clinton +8	New Hampshire	NH	39.0
48.0	1/13 - 1/18	3.4	CNN/WMURCNN/WMUR	903 LV	Clinton +9	New Hampshire	NH	39.0
45.0	1/2 - 1/7	3.2	NBC/WSJ/MaristNBC/WSJ	957 RV	Clinton +1	New Hampshire	NH	44.0
50.0	1/4 - 1/6	3.0	PPP (D)PPP (D)	1036 RV	Clinton +14	New Hampshire	NH	36.0
47.0	11/30 - 12/2	3.1	PPP (D)PPP (D)	990 RV	Clinton +6	New Hampshire	NH	41.0
47.0	11/15 - 11/17	5.0	FOX NewsFOX News	804 RV	Clinton +7	New Hampshire	NH	40.0
47.0	10/16 - 10/18	3.3	PPP (D)PPP (D)	880 RV	Clinton +6	New Hampshire	NH	41.0
48.0	9/23 - 9/30	3.0	NBC/WSJ/MaristNBC/WSJ	1044 RV	Clinton +3	New Hampshire	NH	45.0
50.0	9/17 - 9/23	3.6	CNN/WMURCNN/WMUR	743 LV	Clinton +8	New Hampshire	NH	42.0
46.0	8/26 - 9/2	3.2	NBC/MaristNBC/Marist	966 RV	Clinton +1	New Hampshire	NH	45.0
46.0	8/21 - 8/24	3.4	PPP (D)PPP (D)	841 RV	Clinton +2	New Hampshire	NH	44.0
50.0	7/22 - 7/30	3.8	WMUR/UNHWMUR/UNH	652 LV	Clinton +10	New Hampshire	NH	40.0
39.0	8/7 - 8/9	3.3	PPP (D)PPP (D)	859 RV	Trump +9	Missouri	MO	48.0
39.0	4/18 - 4/21	4.0	WTHR/Howey PoliticsWTHR 13	500 LV	Trump +8	Indiana	IN	47.0
46.0	4/12 - 4/15	4.0	WPR/St. NorbertWPR	616 RV	Clinton +12	Wisconsin	WI	34.0
47.0	3/30 - 4/3	2.8	EmersonEmerson	1198 LV	Clinton +10	Wisconsin	WI	37.0
49.0	3/28 - 3/30	2.5	FOX BusinessFOX Business	1602 LV	Clinton +14	Wisconsin	WI	35.0
47.0	3/24 - 3/28	3.3	MarquetteMarquette	1405 RV	Clinton +10	Wisconsin	WI	37.0
47.0	3/20 - 3/22	3.2	EmersonEmerson	922 LV	Clinton +9	Wisconsin	WI	38.0
47.0	1/21 - 1/24	4.0	MarquetteMarquette	806 LV	Clinton +9	Wisconsin	WI	38.0
48.0	11/12 - 11/15	4.2	MarquetteMarquette	803 RV	Clinton +10	Wisconsin	WI	38.0
50.0	10/14 - 10/17	4.9	WPR/St. NorbertWPR	603 RV	Clinton +11	Wisconsin	WI	39.0
50.0	9/24 - 9/28	4.1	MarquetteMarquette	803 RV	Clinton +14	Wisconsin	WI	36.0
51.0	8/13 - 8/16	3.5	MarquetteMarquette	803 RV	Clinton +16	Wisconsin	WI	35.0
41.0	5/13 - 5/15	3.3	PPP (D)PPP (D)	896 RV	Trump +4	Arizona	AZ	45.0
42.0	4/4 - 4/11	4.2	Behavior Research CenterBRC	564 RV	Clinton +7	Arizona	AZ	35.0
38.0	3/7 - 3/11	3.7	Merrill PollMerrill	701 LV	Tie	Arizona	AZ	38.0
